,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
31,31,E OCON,OCO,Alpine,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,8.0,76.653,1.0
44,44,L HAMILTON,HAM,Mercedes,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,1.0,75.419,2.0
55,55,C SAINZ,SAI,Ferrari,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,15.0,76.649,3.0
14,14,F ALONSO,ALO,Alpine,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,9.0,76.715,4.0
10,10,P GASLY,GAS,AlphaTauri,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,5.0,76.483,5.0
22,22,Y TSUNODA,TSU,AlphaTauri,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,16.0,77.919,6.0
6,6,N LATIFI,LAT,Williams,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,18.0,78.036,7.0
63,63,G RUSSELL,RUS,Williams,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,17.0,77.944,8.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,3.0,75.84,9.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,13.0,77.564,10.0
3,3,D RICCIARDO,RIC,McLaren,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,11.0,76.871,11.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,20.0,,12.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,14.0,77.583,13.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,19.0,78.922,14.0
4,4,L NORRIS,NOR,McLaren,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,6.0,76.489,15.0
77,77,V BOTTAS,BOT,Mercedes,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,2.0,75.734,16.0
11,11,S PEREZ,PER,Red Bull Racing,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,4.0,76.421,17.0
16,16,C LECLERC,LEC,Ferrari,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,7.0,76.496,18.0
18,18,L STROLL,STR,Aston Martin,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,12.0,76.893,19.0
5,5,S VETTEL,VET,Aston Martin,Hungaroring,Hungary,27.226701570680625,0.3036649214659686,10.0,76.75,20.0
