,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
33,33,M VERSTAPPEN,VER,Red Bull Racing,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,1.0,119.765,1.0
63,63,G RUSSELL,RUS,Williams,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,2.0,120.086,2.0
44,44,L HAMILTON,HAM,Mercedes,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,3.0,120.099,3.0
3,3,D RICCIARDO,RIC,McLaren,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,4.0,120.864,4.0
5,5,S VETTEL,VET,Aston Martin,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,5.0,120.935,5.0
10,10,P GASLY,GAS,AlphaTauri,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,6.0,121.164,6.0
31,31,E OCON,OCO,Alpine,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,9.0,123.513,7.0
16,16,C LECLERC,LEC,Ferrari,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,11.0,117.721,8.0
6,6,N LATIFI,LAT,Williams,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,12.0,118.056,9.0
55,55,C SAINZ,SAI,Ferrari,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,13.0,118.137,10.0
14,14,F ALONSO,ALO,Alpine,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,14.0,118.205,11.0
77,77,V BOTTAS,BOT,Mercedes,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,8.0,122.502,12.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,16.0,122.306,13.0
4,4,L NORRIS,NOR,McLaren,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,10.0,116.025,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,17.0,122.413,15.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,18.0,123.973,16.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,20.0,124.939,17.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,19.0,124.452,18.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,7.0,122.112,19.0
18,18,L STROLL,STR,Aston Martin,Circuit de Spa-Francorchamps,Belgium,13.012413793103448,0.8413793103448276,15.0,118.231,20.0
