,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
44,44,L HAMILTON,HAM,Mercedes,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,1.0,67.934,1.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,2.0,68.372,2.0
77,77,V BOTTAS,BOT,Mercedes,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,3.0,68.469,3.0
11,11,S PEREZ,PER,Red Bull Racing,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,4.0,68.483,4.0
16,16,C LECLERC,LEC,Ferrari,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,7.0,68.96,5.0
55,55,C SAINZ,SAI,Ferrari,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,6.0,68.826,6.0
10,10,P GASLY,GAS,AlphaTauri,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,5.0,68.777,7.0
31,31,E OCON,OCO,Alpine,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,11.0,69.189,8.0
14,14,F ALONSO,ALO,Alpine,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,10.0,69.113,9.0
4,4,L NORRIS,NOR,McLaren,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,8.0,68.98,10.0
5,5,S VETTEL,VET,Aston Martin,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,12.0,69.399,11.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,14.0,69.503,12.0
63,63,G RUSSELL,RUS,Williams,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,18.0,69.953,13.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,15.0,70.227,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,13.0,69.483,15.0
6,6,N LATIFI,LAT,Williams,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,17.0,69.897,16.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,20.0,70.589,17.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,19.0,70.329,18.0
3,3,D RICCIARDO,RIC,McLaren,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,9.0,69.039,19.0
18,18,L STROLL,STR,Aston Martin,Autódromo José Carlos Pace,Brazil,23.1373417721519,0.0,16.0,69.663,20.0
