,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
33,33,M VERSTAPPEN,VER,Red Bull Racing,Yas Marina Circuit,UAE,24.519108280254777,0.0,1.0,82.109,1.0
44,44,L HAMILTON,HAM,Mercedes,Yas Marina Circuit,UAE,24.519108280254777,0.0,2.0,82.48,2.0
55,55,C SAINZ,SAI,Ferrari,Yas Marina Circuit,UAE,24.519108280254777,0.0,5.0,82.992,3.0
22,22,Y TSUNODA,TSU,AlphaTauri,Yas Marina Circuit,UAE,24.519108280254777,0.0,8.0,83.22,4.0
10,10,P GASLY,GAS,AlphaTauri,Yas Marina Circuit,UAE,24.519108280254777,0.0,12.0,84.043,5.0
77,77,V BOTTAS,BOT,Mercedes,Yas Marina Circuit,UAE,24.519108280254777,0.0,6.0,83.036,6.0
4,4,L NORRIS,NOR,McLaren,Yas Marina Circuit,UAE,24.519108280254777,0.0,3.0,82.931,7.0
14,14,F ALONSO,ALO,Alpine,Yas Marina Circuit,UAE,24.519108280254777,0.0,11.0,83.46,8.0
31,31,E OCON,OCO,Alpine,Yas Marina Circuit,UAE,24.519108280254777,0.0,9.0,83.389,9.0
16,16,C LECLERC,LEC,Ferrari,Yas Marina Circuit,UAE,24.519108280254777,0.0,7.0,83.122,10.0
5,5,S VETTEL,VET,Aston Martin,Yas Marina Circuit,UAE,24.519108280254777,0.0,15.0,84.305,11.0
3,3,D RICCIARDO,RIC,McLaren,Yas Marina Circuit,UAE,24.519108280254777,0.0,10.0,83.409,12.0
18,18,L STROLL,STR,Aston Martin,Yas Marina Circuit,UAE,24.519108280254777,0.0,13.0,84.066,13.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Yas Marina Circuit,UAE,24.519108280254777,0.0,19.0,84.906,14.0
11,11,S PEREZ,PER,Red Bull Racing,Yas Marina Circuit,UAE,24.519108280254777,0.0,4.0,82.947,15.0
6,6,N LATIFI,LAT,Williams,Yas Marina Circuit,UAE,24.519108280254777,0.0,16.0,84.338,16.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Yas Marina Circuit,UAE,24.519108280254777,0.0,14.0,84.251,17.0
63,63,G RUSSELL,RUS,Williams,Yas Marina Circuit,UAE,24.519108280254777,0.0,17.0,84.423,18.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Yas Marina Circuit,UAE,24.519108280254777,0.0,18.0,84.779,19.0
9,9,nan,nan,nan,Yas Marina Circuit,UAE,24.519108280254777,0.0,20.0,85.685,20.0
