,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
44,44,L HAMILTON,HAM,Mercedes,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,2.0,78.355,1.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,3.0,78.746,2.0
77,77,V BOTTAS,BOT,Mercedes,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,1.0,78.348,3.0
11,11,S PEREZ,PER,Red Bull Racing,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,4.0,78.89,4.0
4,4,L NORRIS,NOR,McLaren,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,7.0,79.116,5.0
16,16,C LECLERC,LEC,Ferrari,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,8.0,79.306,6.0
31,31,E OCON,OCO,Alpine,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,6.0,79.042,7.0
14,14,F ALONSO,ALO,Alpine,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,13.0,79.456,8.0
3,3,D RICCIARDO,RIC,McLaren,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,16.0,79.839,9.0
10,10,P GASLY,GAS,AlphaTauri,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,9.0,79.475,10.0
55,55,C SAINZ,SAI,Ferrari,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,5.0,79.039,11.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,12.0,79.216,12.0
5,5,S VETTEL,VET,Aston Martin,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,10.0,79.659,13.0
18,18,L STROLL,STR,Aston Martin,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,17.0,79.913,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,14.0,79.463,15.0
63,63,G RUSSELL,RUS,Williams,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,11.0,79.109,16.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,19.0,80.452,17.0
6,6,N LATIFI,LAT,Williams,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,18.0,80.285,18.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,20.0,80.912,19.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Autódromo Internacional do Algarve,Portugal,19.392537313432832,0.0,15.0,79.812,20.0
