,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
33,33,M VERSTAPPEN,VER,Red Bull Racing,Circuit de Monaco,Monaco,20.760740740740744,0.0,2.0,70.576,1.0
55,55,C SAINZ,SAI,Ferrari,Circuit de Monaco,Monaco,20.760740740740744,0.0,4.0,70.611,2.0
4,4,L NORRIS,NOR,McLaren,Circuit de Monaco,Monaco,20.760740740740744,0.0,5.0,70.62,3.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit de Monaco,Monaco,20.760740740740744,0.0,9.0,71.573,4.0
5,5,S VETTEL,VET,Aston Martin,Circuit de Monaco,Monaco,20.760740740740744,0.0,8.0,71.419,5.0
10,10,P GASLY,GAS,AlphaTauri,Circuit de Monaco,Monaco,20.760740740740744,0.0,6.0,70.9,6.0
44,44,L HAMILTON,HAM,Mercedes,Circuit de Monaco,Monaco,20.760740740740744,0.0,7.0,71.095,7.0
18,18,L STROLL,STR,Aston Martin,Circuit de Monaco,Monaco,20.760740740740744,0.0,13.0,71.6,8.0
31,31,E OCON,OCO,Alpine,Circuit de Monaco,Monaco,20.760740740740744,0.0,11.0,71.486,9.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Circuit de Monaco,Monaco,20.760740740740744,0.0,10.0,71.779,10.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Circuit de Monaco,Monaco,20.760740740740744,0.0,14.0,71.642,11.0
3,3,D RICCIARDO,RIC,McLaren,Circuit de Monaco,Monaco,20.760740740740744,0.0,12.0,71.598,12.0
14,14,F ALONSO,ALO,Alpine,Circuit de Monaco,Monaco,20.760740740740744,0.0,17.0,72.205,13.0
63,63,G RUSSELL,RUS,Williams,Circuit de Monaco,Monaco,20.760740740740744,0.0,15.0,71.83,14.0
6,6,N LATIFI,LAT,Williams,Circuit de Monaco,Monaco,20.760740740740744,0.0,18.0,72.366,15.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit de Monaco,Monaco,20.760740740740744,0.0,16.0,72.096,16.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Circuit de Monaco,Monaco,20.760740740740744,0.0,19.0,72.958,17.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit de Monaco,Monaco,20.760740740740744,0.0,,,18.0
77,77,V BOTTAS,BOT,Mercedes,Circuit de Monaco,Monaco,20.760740740740744,0.0,3.0,70.601,19.0
16,16,C LECLERC,LEC,Ferrari,Circuit de Monaco,Monaco,20.760740740740744,0.0,1.0,70.346,20.0
