,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,2.0,79.073,1.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,5.0,79.42,2.0
63,63,G RUSSELL,RUS,Mercedes,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,4.0,79.393,3.0
55,55,C SAINZ,SAI,Ferrari,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,3.0,79.166,4.0
44,44,L HAMILTON,HAM,Mercedes,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,6.0,79.512,5.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,7.0,79.608,6.0
31,31,E OCON,OCO,Alpine,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,12.0,80.638,7.0
4,4,L NORRIS,NOR,McLaren,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,11.0,80.471,8.0
14,14,F ALONSO,ALO,Alpine,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,17.0,81.043,9.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,13.0,80.639,10.0
5,5,S VETTEL,VET,Aston Martin,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,16.0,80.954,11.0
3,3,D RICCIARDO,RIC,McLaren,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,9.0,80.297,12.0
10,10,P GASLY,GAS,AlphaTauri,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,14.0,80.861,13.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,10.0,80.368,14.0
18,18,L STROLL,STR,Aston Martin,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,18.0,81.418,15.0
6,6,N LATIFI,LAT,Williams,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,20.0,81.915,16.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,8.0,79.682,17.0
23,23,A ALBON,ALB,Williams,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,19.0,81.645,18.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,15.0,81.094,19.0
16,16,C LECLERC,LEC,Ferrari,Circuit de Barcelona-Catalunya,Spain,36.56585365853658,0.0,1.0,78.75,20.0
