,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,1.0,70.567,1.0
14,14,F ALONSO,ALO,Aston Martin,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,5.0,71.506,2.0
10,10,P GASLY,GAS,Alpine,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,12.0,80.128,3.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,7.0,71.88,4.0
55,55,C SAINZ,SAI,Ferrari,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,6.0,71.754,5.0
44,44,L HAMILTON,HAM,Mercedes,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,13.0,80.151,6.0
4,4,L NORRIS,NOR,McLaren,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,2.0,71.104,7.0
23,23,A ALBON,ALB,Williams,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,4.0,71.419,8.0
81,81,O PIASTRI,PIA,McLaren,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,8.0,71.938,9.0
31,31,E OCON,OCO,Alpine,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,17.0,82.11,10.0
18,18,L STROLL,STR,Aston Martin,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,11.0,80.121,11.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,15.0,80.25,12.0
40,40,L LAWSON,LAW,AlphaTauri,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,20.0,83.42,13.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,19.0,82.26,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,14.0,80.23,15.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,18.0,82.192,16.0
63,63,G RUSSELL,RUS,Mercedes,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,3.0,71.294,17.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,16.0,82.067,18.0
16,16,C LECLERC,LEC,Ferrari,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,9.0,72.665,19.0
2,2,L SARGEANT,SAR,Williams,Circuit Park Zandvoort,Netherlands,16.791866028708135,0.22966507177033493,10.0,76.748,20.0
