,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
55,55,C SAINZ,SAI,Ferrari,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,1.0,90.984,1.0
4,4,L NORRIS,NOR,McLaren,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,4.0,91.27,2.0
44,44,L HAMILTON,HAM,Mercedes,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,5.0,91.485,3.0
16,16,C LECLERC,LEC,Ferrari,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,3.0,91.063,4.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,11.0,92.173,5.0
10,10,P GASLY,GAS,Alpine,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,12.0,92.274,6.0
81,81,O PIASTRI,PIA,McLaren,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,17.0,92.902,7.0
11,11,S PEREZ,PER,Red Bull Racing,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,13.0,92.31,8.0
40,40,L LAWSON,LAW,AlphaTauri,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,10.0,92.268,9.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,6.0,91.575,10.0
23,23,A ALBON,ALB,Williams,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,14.0,93.719,11.0
24,24,G ZHOU,ZHO,Alfa Romeo,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,19.0,93.258,12.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,9.0,91.808,13.0
2,2,L SARGEANT,SAR,Williams,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,18.0,93.252,14.0
14,14,F ALONSO,ALO,Aston Martin,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,7.0,91.615,15.0
63,63,G RUSSELL,RUS,Mercedes,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,2.0,91.056,16.0
77,77,V BOTTAS,BOT,Alfa Romeo,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,16.0,92.809,17.0
31,31,E OCON,OCO,Alpine,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,8.0,91.673,18.0
22,22,Y TSUNODA,TSU,AlphaTauri,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,15.0,91.991,19.0
18,18,nan,nan,nan,Marina Bay Street Circuit,Singapore,29.844318181818185,0.0,20.0,93.397,20.0
