,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Losail International Circuit,Qatar,31.46289308176101,0.0,1.0,83.778,1.0
81,81,O PIASTRI,PIA,McLaren,Losail International Circuit,Qatar,31.46289308176101,0.0,6.0,84.54,2.0
4,4,L NORRIS,NOR,McLaren,Losail International Circuit,Qatar,31.46289308176101,0.0,10.0,84.685,3.0
63,63,G RUSSELL,RUS,Mercedes,Losail International Circuit,Qatar,31.46289308176101,0.0,2.0,84.219,4.0
16,16,C LECLERC,LEC,Ferrari,Losail International Circuit,Qatar,31.46289308176101,0.0,5.0,84.424,5.0
14,14,F ALONSO,ALO,Aston Martin,Losail International Circuit,Qatar,31.46289308176101,0.0,4.0,84.369,6.0
31,31,E OCON,OCO,Alpine,Losail International Circuit,Qatar,31.46289308176101,0.0,8.0,84.763,7.0
77,77,V BOTTAS,BOT,Alfa Romeo,Losail International Circuit,Qatar,31.46289308176101,0.0,9.0,85.058,8.0
24,24,G ZHOU,ZHO,Alfa Romeo,Losail International Circuit,Qatar,31.46289308176101,0.0,20.0,87.432,9.0
11,11,S PEREZ,PER,Red Bull Racing,Losail International Circuit,Qatar,31.46289308176101,0.0,13.0,85.462,10.0
18,18,L STROLL,STR,Aston Martin,Losail International Circuit,Qatar,31.46289308176101,0.0,17.0,86.345,11.0
10,10,P GASLY,GAS,Alpine,Losail International Circuit,Qatar,31.46289308176101,0.0,7.0,84.553,12.0
23,23,A ALBON,ALB,Williams,Losail International Circuit,Qatar,31.46289308176101,0.0,14.0,85.707,13.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Losail International Circuit,Qatar,31.46289308176101,0.0,19.0,87.046,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Losail International Circuit,Qatar,31.46289308176101,0.0,11.0,85.301,15.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Losail International Circuit,Qatar,31.46289308176101,0.0,15.0,85.783,16.0
40,40,L LAWSON,LAW,AlphaTauri,Losail International Circuit,Qatar,31.46289308176101,0.0,18.0,86.635,17.0
2,2,L SARGEANT,SAR,Williams,Losail International Circuit,Qatar,31.46289308176101,0.0,16.0,86.21,18.0
44,44,L HAMILTON,HAM,Mercedes,Losail International Circuit,Qatar,31.46289308176101,0.0,3.0,84.305,19.0
55,55,C SAINZ,SAI,Ferrari,Losail International Circuit,Qatar,31.46289308176101,0.0,12.0,85.328,20.0
