,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,1.0,89.708,1.0
11,11,S PEREZ,PER,Red Bull Racing,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,2.0,89.846,2.0
14,14,F ALONSO,ALO,Aston Martin,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,5.0,90.336,3.0
55,55,C SAINZ,SAI,Ferrari,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,4.0,90.154,4.0
44,44,L HAMILTON,HAM,Mercedes,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,7.0,90.384,5.0
18,18,L STROLL,STR,Aston Martin,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,8.0,90.836,6.0
63,63,G RUSSELL,RUS,Mercedes,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,6.0,90.34,7.0
77,77,V BOTTAS,BOT,Alfa Romeo,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,12.0,91.443,8.0
10,10,P GASLY,GAS,Alpine,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,20.0,92.181,9.0
23,23,A ALBON,ALB,Williams,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,15.0,91.461,10.0
22,22,Y TSUNODA,TSU,AlphaTauri,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,14.0,92.51,11.0
2,2,L SARGEANT,SAR,Williams,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,16.0,91.652,12.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,17.0,91.892,13.0
21,21,N DE VRIES,DEV,AlphaTauri,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,19.0,92.121,14.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,10.0,90.809,15.0
24,24,G ZHOU,ZHO,Alfa Romeo,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,13.0,91.473,16.0
4,4,L NORRIS,NOR,McLaren,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,11.0,91.381,17.0
31,31,E OCON,OCO,Alpine,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,9.0,90.984,18.0
16,16,C LECLERC,LEC,Ferrari,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,3.0,90.0,19.0
81,81,O PIASTRI,PIA,McLaren,Bahrain International Circuit,Bahrain,27.43167701863354,0.0,18.0,92.101,20.0
