,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
11,11,S PEREZ,PER,Red Bull Racing,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,1.0,88.265,1.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,15.0,109.953,2.0
14,14,F ALONSO,ALO,Aston Martin,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,3.0,88.73,3.0
63,63,G RUSSELL,RUS,Mercedes,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,4.0,88.857,4.0
44,44,L HAMILTON,HAM,Mercedes,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,8.0,89.223,5.0
55,55,C SAINZ,SAI,Ferrari,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,5.0,88.931,6.0
16,16,C LECLERC,LEC,Ferrari,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,2.0,88.42,7.0
31,31,E OCON,OCO,Alpine,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,7.0,89.078,8.0
10,10,P GASLY,GAS,Alpine,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,10.0,89.357,9.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,13.0,89.634,10.0
22,22,Y TSUNODA,TSU,AlphaTauri,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,16.0,89.939,11.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,11.0,89.451,12.0
24,24,G ZHOU,ZHO,Alfa Romeo,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,12.0,89.461,13.0
21,21,N DE VRIES,DEV,AlphaTauri,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,18.0,90.244,14.0
81,81,O PIASTRI,PIA,McLaren,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,9.0,89.243,15.0
2,2,L SARGEANT,SAR,Williams,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,20.0,128.51,16.0
4,4,L NORRIS,NOR,McLaren,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,19.0,90.447,17.0
77,77,V BOTTAS,BOT,Alfa Romeo,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,14.0,89.668,18.0
23,23,A ALBON,ALB,Williams,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,17.0,89.994,19.0
18,18,L STROLL,STR,Aston Martin,Jeddah Corniche Circuit,Saudi Arabia,26.09189189189189,0.0,6.0,88.945,20.0
