,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,1.0,76.732,1.0
44,44,L HAMILTON,HAM,Mercedes,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,3.0,77.104,2.0
14,14,F ALONSO,ALO,Aston Martin,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,4.0,77.139,3.0
18,18,L STROLL,STR,Aston Martin,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,6.0,77.308,4.0
11,11,S PEREZ,PER,Red Bull Racing,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,20.0,,5.0
4,4,L NORRIS,NOR,McLaren,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,13.0,78.119,6.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,10.0,77.735,7.0
81,81,O PIASTRI,PIA,McLaren,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,16.0,78.517,8.0
24,24,G ZHOU,ZHO,Alfa Romeo,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,17.0,78.54,9.0
22,22,Y TSUNODA,TSU,AlphaTauri,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,12.0,78.099,10.0
77,77,V BOTTAS,BOT,Alfa Romeo,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,19.0,78.714,11.0
55,55,C SAINZ,SAI,Ferrari,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,5.0,77.27,12.0
10,10,P GASLY,GAS,Alpine,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,9.0,77.675,13.0
31,31,E OCON,OCO,Alpine,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,11.0,77.768,14.0
21,21,N DE VRIES,DEV,AlphaTauri,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,15.0,78.335,15.0
2,2,L SARGEANT,SAR,Williams,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,18.0,78.557,16.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,14.0,78.129,17.0
63,63,G RUSSELL,RUS,Mercedes,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,2.0,76.968,18.0
23,23,A ALBON,ALB,Williams,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,8.0,77.609,19.0
16,16,C LECLERC,LEC,Ferrari,Albert Park Grand Prix Circuit,Australia,17.449549549549552,0.0,7.0,77.369,20.0
