,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
11,11,S PEREZ,PER,Red Bull Racing,Baku City Circuit,Azerbaijan,24.860625,0.0,3.0,100.495,1.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Baku City Circuit,Azerbaijan,24.860625,0.0,2.0,100.391,2.0
16,16,C LECLERC,LEC,Ferrari,Baku City Circuit,Azerbaijan,24.860625,0.0,1.0,100.203,3.0
14,14,F ALONSO,ALO,Aston Martin,Baku City Circuit,Azerbaijan,24.860625,0.0,6.0,101.253,4.0
55,55,C SAINZ,SAI,Ferrari,Baku City Circuit,Azerbaijan,24.860625,0.0,4.0,101.016,5.0
44,44,L HAMILTON,HAM,Mercedes,Baku City Circuit,Azerbaijan,24.860625,0.0,5.0,101.177,6.0
18,18,L STROLL,STR,Aston Martin,Baku City Circuit,Azerbaijan,24.860625,0.0,9.0,101.611,7.0
63,63,G RUSSELL,RUS,Mercedes,Baku City Circuit,Azerbaijan,24.860625,0.0,11.0,101.654,8.0
4,4,L NORRIS,NOR,McLaren,Baku City Circuit,Azerbaijan,24.860625,0.0,7.0,101.281,9.0
22,22,Y TSUNODA,TSU,AlphaTauri,Baku City Circuit,Azerbaijan,24.860625,0.0,8.0,101.581,10.0
81,81,O PIASTRI,PIA,McLaren,Baku City Circuit,Azerbaijan,24.860625,0.0,10.0,101.611,11.0
23,23,A ALBON,ALB,Williams,Baku City Circuit,Azerbaijan,24.860625,0.0,13.0,101.818,12.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Baku City Circuit,Azerbaijan,24.860625,0.0,18.0,103.417,13.0
10,10,P GASLY,GAS,Alpine,Baku City Circuit,Azerbaijan,24.860625,0.0,19.0,104.853,14.0
31,31,E OCON,OCO,Alpine,Baku City Circuit,Azerbaijan,24.860625,0.0,12.0,101.798,15.0
2,2,L SARGEANT,SAR,Williams,Baku City Circuit,Azerbaijan,24.860625,0.0,15.0,102.395,16.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Baku City Circuit,Azerbaijan,24.860625,0.0,17.0,102.755,17.0
77,77,V BOTTAS,BOT,Alfa Romeo,Baku City Circuit,Azerbaijan,24.860625,0.0,14.0,102.259,18.0
24,24,G ZHOU,ZHO,Alfa Romeo,Baku City Circuit,Azerbaijan,24.860625,0.0,16.0,102.642,19.0
21,21,N DE VRIES,DEV,AlphaTauri,Baku City Circuit,Azerbaijan,24.860625,0.0,20.0,,20.0
