,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,1.0,64.391,1.0
16,16,C LECLERC,LEC,Ferrari,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,2.0,64.439,2.0
11,11,S PEREZ,PER,Red Bull Racing,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,15.0,126.688,3.0
4,4,L NORRIS,NOR,McLaren,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,4.0,64.658,4.0
14,14,F ALONSO,ALO,Aston Martin,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,7.0,64.911,5.0
55,55,C SAINZ,SAI,Ferrari,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,3.0,64.581,6.0
63,63,G RUSSELL,RUS,Mercedes,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,11.0,65.428,7.0
44,44,L HAMILTON,HAM,Mercedes,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,5.0,64.819,8.0
18,18,L STROLL,STR,Aston Martin,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,6.0,64.893,9.0
10,10,P GASLY,GAS,Alpine,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,9.0,65.17,10.0
23,23,A ALBON,ALB,Williams,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,10.0,65.823,11.0
24,24,G ZHOU,ZHO,Alfa Romeo,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,17.0,65.818,12.0
2,2,L SARGEANT,SAR,Williams,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,18.0,65.948,13.0
31,31,E OCON,OCO,Alpine,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,12.0,65.453,14.0
77,77,V BOTTAS,BOT,Alfa Romeo,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,14.0,65.68,15.0
81,81,O PIASTRI,PIA,McLaren,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,13.0,65.605,16.0
21,21,N DE VRIES,DEV,AlphaTauri,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,20.0,65.974,17.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,19.0,65.971,18.0
22,22,Y TSUNODA,TSU,AlphaTauri,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,16.0,65.784,19.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Red Bull Ring,Austria,22.398039215686275,0.0196078431372549,8.0,65.09,20.0
