,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
44,44,L HAMILTON,HAM,Mercedes,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,4.0,104.05,1.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,20.0,,2.0
55,55,C SAINZ,SAI,Ferrari,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,2.0,102.51,3.0
3,3,D RICCIARDO,RIC,McLaren,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,5.0,104.156,4.0
77,77,V BOTTAS,BOT,Mercedes,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,7.0,104.71,5.0
14,14,F ALONSO,ALO,Alpine,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,6.0,104.204,6.0
4,4,L NORRIS,NOR,McLaren,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,1.0,101.993,7.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,16.0,109.586,8.0
11,11,S PEREZ,PER,Red Bull Racing,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,9.0,105.337,9.0
63,63,G RUSSELL,RUS,Williams,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,3.0,102.983,10.0
18,18,L STROLL,STR,Aston Martin,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,8.0,104.956,11.0
5,5,S VETTEL,VET,Aston Martin,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,11.0,106.573,12.0
10,10,P GASLY,GAS,AlphaTauri,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,12.0,106.641,13.0
31,31,E OCON,OCO,Alpine,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,10.0,105.865,14.0
16,16,C LECLERC,LEC,Ferrari,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,15.0,108.47,15.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,18.0,111.023,16.0
22,22,Y TSUNODA,TSU,AlphaTauri,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,13.0,106.751,17.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,19.0,113.764,18.0
6,6,N LATIFI,LAT,Williams,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,14.0,108.252,19.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Sochi Autodrom,Russia,19.13860759493671,0.10126582278481013,17.0,109.83,20.0
