,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
77,77,V BOTTAS,BOT,Mercedes,Istanbul Park,Turkey,15.82547770700637,0.0,2.0,82.998,1.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Istanbul Park,Turkey,15.82547770700637,0.0,3.0,83.196,2.0
11,11,S PEREZ,PER,Red Bull Racing,Istanbul Park,Turkey,15.82547770700637,0.0,7.0,83.706,3.0
16,16,C LECLERC,LEC,Ferrari,Istanbul Park,Turkey,15.82547770700637,0.0,4.0,83.265,4.0
44,44,L HAMILTON,HAM,Mercedes,Istanbul Park,Turkey,15.82547770700637,0.0,1.0,82.868,5.0
10,10,P GASLY,GAS,AlphaTauri,Istanbul Park,Turkey,15.82547770700637,0.0,5.0,83.326,6.0
4,4,L NORRIS,NOR,McLaren,Istanbul Park,Turkey,15.82547770700637,0.0,8.0,83.954,7.0
55,55,C SAINZ,SAI,Ferrari,Istanbul Park,Turkey,15.82547770700637,0.0,15.0,85.177,8.0
18,18,L STROLL,STR,Aston Martin,Istanbul Park,Turkey,15.82547770700637,0.0,9.0,84.305,9.0
31,31,E OCON,OCO,Alpine,Istanbul Park,Turkey,15.82547770700637,0.0,12.0,84.842,10.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Istanbul Park,Turkey,15.82547770700637,0.0,18.0,86.43,11.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Istanbul Park,Turkey,15.82547770700637,0.0,19.0,87.525,12.0
3,3,D RICCIARDO,RIC,McLaren,Istanbul Park,Turkey,15.82547770700637,0.0,16.0,85.881,13.0
22,22,Y TSUNODA,TSU,AlphaTauri,Istanbul Park,Turkey,15.82547770700637,0.0,10.0,84.368,14.0
63,63,G RUSSELL,RUS,Williams,Istanbul Park,Turkey,15.82547770700637,0.0,13.0,85.007,15.0
14,14,F ALONSO,ALO,Alpine,Istanbul Park,Turkey,15.82547770700637,0.0,6.0,83.477,16.0
6,6,N LATIFI,LAT,Williams,Istanbul Park,Turkey,15.82547770700637,0.0,17.0,86.086,17.0
5,5,S VETTEL,VET,Aston Martin,Istanbul Park,Turkey,15.82547770700637,0.0,11.0,84.795,18.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Istanbul Park,Turkey,15.82547770700637,0.0,14.0,85.2,19.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Istanbul Park,Turkey,15.82547770700637,0.0,20.0,88.449,20.0
