,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
33,33,M VERSTAPPEN,VER,Red Bull Racing,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,3.0,76.225,1.0
44,44,L HAMILTON,HAM,Mercedes,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,2.0,76.02,2.0
11,11,S PEREZ,PER,Red Bull Racing,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,4.0,76.342,3.0
10,10,P GASLY,GAS,AlphaTauri,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,5.0,76.456,4.0
16,16,C LECLERC,LEC,Ferrari,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,8.0,76.837,5.0
55,55,C SAINZ,SAI,Ferrari,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,6.0,76.761,6.0
5,5,S VETTEL,VET,Aston Martin,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,11.0,77.746,7.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,12.0,77.958,8.0
14,14,F ALONSO,ALO,Alpine,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,16.0,78.452,9.0
4,4,L NORRIS,NOR,McLaren,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,10.0,96.83,10.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,14.0,78.29,11.0
3,3,D RICCIARDO,RIC,McLaren,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,7.0,76.763,12.0
31,31,E OCON,OCO,Alpine,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,15.0,78.405,13.0
18,18,L STROLL,STR,Aston Martin,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,20.0,80.873,14.0
77,77,V BOTTAS,BOT,Mercedes,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,1.0,75.875,15.0
63,63,G RUSSELL,RUS,Williams,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,13.0,78.172,16.0
6,6,N LATIFI,LAT,Williams,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,17.0,78.756,17.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,19.0,79.303,18.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,18.0,78.858,19.0
22,22,Y TSUNODA,TSU,AlphaTauri,Autódromo Hermanos Rodríguez,Mexico,21.206707317073167,0.0,9.0,77.158,20.0
