,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
44,44,L HAMILTON,HAM,Mercedes,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,1.0,87.511,1.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,3.0,87.653,2.0
77,77,V BOTTAS,BOT,Mercedes,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,2.0,87.622,3.0
31,31,E OCON,OCO,Alpine,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,9.0,88.647,4.0
3,3,D RICCIARDO,RIC,McLaren,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,11.0,88.668,5.0
10,10,P GASLY,GAS,AlphaTauri,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,6.0,88.125,6.0
16,16,C LECLERC,LEC,Ferrari,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,4.0,88.054,7.0
55,55,C SAINZ,SAI,Ferrari,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,15.0,113.652,8.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,10.0,88.754,9.0
4,4,L NORRIS,NOR,McLaren,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,7.0,88.18,10.0
18,18,L STROLL,STR,Aston Martin,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,18.0,89.368,11.0
6,6,N LATIFI,LAT,Williams,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,16.0,89.177,12.0
14,14,F ALONSO,ALO,Alpine,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,13.0,88.92,13.0
22,22,Y TSUNODA,TSU,AlphaTauri,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,8.0,88.442,14.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,12.0,88.885,15.0
5,5,S VETTEL,VET,Aston Martin,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,17.0,89.198,16.0
11,11,S PEREZ,PER,Red Bull Racing,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,5.0,88.123,17.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,20.0,90.473,18.0
63,63,G RUSSELL,RUS,Williams,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,14.0,89.054,19.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Jeddah Corniche Circuit,Saudi Arabia,28.816062176165804,0.0,19.0,89.464,20.0
