,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
11,11,S PEREZ,PER,Red Bull Racing,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,7.0,101.917,1.0
5,5,S VETTEL,VET,Aston Martin,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,11.0,102.224,2.0
10,10,P GASLY,GAS,AlphaTauri,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,4.0,101.565,3.0
16,16,C LECLERC,LEC,Ferrari,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,1.0,101.218,4.0
4,4,L NORRIS,NOR,McLaren,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,6.0,101.747,5.0
14,14,F ALONSO,ALO,Alpine,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,9.0,102.327,6.0
22,22,Y TSUNODA,TSU,AlphaTauri,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,8.0,102.211,7.0
55,55,C SAINZ,SAI,Ferrari,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,5.0,101.576,8.0
3,3,D RICCIARDO,RIC,McLaren,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,13.0,102.558,9.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,14.0,102.587,10.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,20.0,,11.0
77,77,V BOTTAS,BOT,Mercedes,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,10.0,102.659,12.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,17.0,104.158,13.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,18.0,104.238,14.0
44,44,L HAMILTON,HAM,Mercedes,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,2.0,101.45,15.0
6,6,N LATIFI,LAT,Williams,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,16.0,103.128,16.0
63,63,G RUSSELL,RUS,Williams,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,15.0,102.758,17.0
33,33,M VERSTAPPEN,VER,Red Bull Racing,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,3.0,101.563,18.0
18,18,L STROLL,STR,Aston Martin,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,19.0,,19.0
31,31,E OCON,OCO,Alpine,Baku City Circuit,Azerbaijan,24.17093023255814,0.0,12.0,102.273,20.0
