,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
33,33,M VERSTAPPEN,VER,Red Bull Racing,Red Bull Ring,Austria,26.692372881355933,0.0,1.0,63.841,1.0
44,44,L HAMILTON,HAM,Mercedes,Red Bull Ring,Austria,26.692372881355933,0.0,3.0,64.067,2.0
77,77,V BOTTAS,BOT,Mercedes,Red Bull Ring,Austria,26.692372881355933,0.0,2.0,64.035,3.0
11,11,S PEREZ,PER,Red Bull Racing,Red Bull Ring,Austria,26.692372881355933,0.0,5.0,64.168,4.0
4,4,L NORRIS,NOR,McLaren,Red Bull Ring,Austria,26.692372881355933,0.0,4.0,64.12,5.0
55,55,C SAINZ,SAI,Ferrari,Red Bull Ring,Austria,26.692372881355933,0.0,12.0,64.8,6.0
16,16,C LECLERC,LEC,Ferrari,Red Bull Ring,Austria,26.692372881355933,0.0,7.0,64.472,7.0
18,18,L STROLL,STR,Aston Martin,Red Bull Ring,Austria,26.692372881355933,0.0,10.0,64.708,8.0
14,14,F ALONSO,ALO,Alpine,Red Bull Ring,Austria,26.692372881355933,0.0,9.0,64.574,9.0
22,22,Y TSUNODA,TSU,AlphaTauri,Red Bull Ring,Austria,26.692372881355933,0.0,8.0,64.514,10.0
7,7,K RAIKKONEN,RAI,Alfa Romeo Racing,Red Bull Ring,Austria,26.692372881355933,0.0,18.0,65.429,11.0
5,5,S VETTEL,VET,Aston Martin,Red Bull Ring,Austria,26.692372881355933,0.0,14.0,64.875,12.0
3,3,D RICCIARDO,RIC,McLaren,Red Bull Ring,Austria,26.692372881355933,0.0,13.0,64.808,13.0
31,31,E OCON,OCO,Alpine,Red Bull Ring,Austria,26.692372881355933,0.0,17.0,65.217,14.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Red Bull Ring,Austria,26.692372881355933,0.0,15.0,64.913,15.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Red Bull Ring,Austria,26.692372881355933,0.0,19.0,66.041,16.0
6,6,N LATIFI,LAT,Williams,Red Bull Ring,Austria,26.692372881355933,0.0,16.0,65.175,17.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Red Bull Ring,Austria,26.692372881355933,0.0,20.0,66.192,18.0
63,63,G RUSSELL,RUS,Williams,Red Bull Ring,Austria,26.692372881355933,0.0,11.0,64.671,19.0
10,10,P GASLY,GAS,AlphaTauri,Red Bull Ring,Austria,26.692372881355933,0.0,6.0,64.236,20.0
