,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit Paul Ricard,France,30.164843750000003,0.0,2.0,91.176,1.0
44,44,L HAMILTON,HAM,Mercedes,Circuit Paul Ricard,France,30.164843750000003,0.0,4.0,91.765,2.0
63,63,G RUSSELL,RUS,Mercedes,Circuit Paul Ricard,France,30.164843750000003,0.0,6.0,92.131,3.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit Paul Ricard,France,30.164843750000003,0.0,3.0,91.335,4.0
55,55,C SAINZ,SAI,Ferrari,Circuit Paul Ricard,France,30.164843750000003,0.0,9.0,91.081,5.0
14,14,F ALONSO,ALO,Alpine,Circuit Paul Ricard,France,30.164843750000003,0.0,7.0,92.552,6.0
4,4,L NORRIS,NOR,McLaren,Circuit Paul Ricard,France,30.164843750000003,0.0,5.0,92.032,7.0
31,31,E OCON,OCO,Alpine,Circuit Paul Ricard,France,30.164843750000003,0.0,12.0,93.048,8.0
3,3,D RICCIARDO,RIC,McLaren,Circuit Paul Ricard,France,30.164843750000003,0.0,11.0,92.922,9.0
18,18,L STROLL,STR,Aston Martin,Circuit Paul Ricard,France,30.164843750000003,0.0,17.0,93.439,10.0
5,5,S VETTEL,VET,Aston Martin,Circuit Paul Ricard,France,30.164843750000003,0.0,14.0,93.276,11.0
10,10,P GASLY,GAS,AlphaTauri,Circuit Paul Ricard,France,30.164843750000003,0.0,16.0,93.439,12.0
23,23,A ALBON,ALB,Williams,Circuit Paul Ricard,France,30.164843750000003,0.0,15.0,93.307,13.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit Paul Ricard,France,30.164843750000003,0.0,13.0,93.052,14.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit Paul Ricard,France,30.164843750000003,0.0,19.0,93.701,15.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit Paul Ricard,France,30.164843750000003,0.0,18.0,93.674,16.0
6,6,N LATIFI,LAT,Williams,Circuit Paul Ricard,France,30.164843750000003,0.0,20.0,93.794,17.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit Paul Ricard,France,30.164843750000003,0.0,10.0,92.649,18.0
16,16,C LECLERC,LEC,Ferrari,Circuit Paul Ricard,France,30.164843750000003,0.0,1.0,90.872,19.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit Paul Ricard,France,30.164843750000003,0.0,8.0,92.78,20.0
