,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,1.0,70.342,1.0
63,63,G RUSSELL,RUS,Mercedes,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,6.0,71.147,2.0
16,16,C LECLERC,LEC,Ferrari,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,2.0,70.363,3.0
44,44,L HAMILTON,HAM,Mercedes,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,4.0,70.648,4.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,5.0,71.077,5.0
14,14,F ALONSO,ALO,Alpine,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,13.0,71.613,6.0
4,4,L NORRIS,NOR,McLaren,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,7.0,71.174,7.0
55,55,C SAINZ,SAI,Ferrari,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,3.0,70.434,8.0
31,31,E OCON,OCO,Alpine,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,12.0,71.605,9.0
18,18,L STROLL,STR,Aston Martin,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,10.0,71.416,10.0
10,10,P GASLY,GAS,AlphaTauri,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,11.0,71.512,11.0
23,23,A ALBON,ALB,Williams,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,15.0,71.802,12.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,8.0,71.442,13.0
5,5,S VETTEL,VET,Aston Martin,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,19.0,72.391,14.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,18.0,72.319,15.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,14.0,71.704,16.0
3,3,D RICCIARDO,RIC,McLaren,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,17.0,72.081,17.0
6,6,N LATIFI,LAT,Williams,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,20.0,73.353,18.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,16.0,71.961,19.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit Park Zandvoort,Netherlands,22.73006134969325,0.0,9.0,72.556,20.0
