,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
11,11,S PEREZ,PER,Red Bull Racing,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,2.0,109.434,1.0
16,16,C LECLERC,LEC,Ferrari,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,1.0,109.412,2.0
55,55,C SAINZ,SAI,Ferrari,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,4.0,109.583,3.0
4,4,L NORRIS,NOR,McLaren,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,6.0,110.584,4.0
3,3,D RICCIARDO,RIC,McLaren,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,17.0,116.226,5.0
18,18,L STROLL,STR,Aston Martin,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,12.0,114.211,6.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,8.0,111.395,7.0
5,5,S VETTEL,VET,Aston Martin,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,14.0,114.38,8.0
44,44,L HAMILTON,HAM,Mercedes,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,3.0,109.466,9.0
10,10,P GASLY,GAS,AlphaTauri,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,7.0,111.211,10.0
77,77,V BOTTAS,BOT,Alfa Romeo,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,16.0,116.083,11.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,9.0,111.573,12.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,13.0,114.37,13.0
63,63,G RUSSELL,RUS,Mercedes,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,11.0,114.012,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,10.0,111.983,15.0
31,31,E OCON,OCO,Alpine,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,18.0,116.337,16.0
23,23,A ALBON,ALB,Williams,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,19.0,116.985,17.0
14,14,F ALONSO,ALO,Alpine,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,5.0,109.966,18.0
6,6,N LATIFI,LAT,Williams,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,20.0,117.532,19.0
24,24,G ZHOU,ZHO,Alfa Romeo,Marina Bay Street Circuit,Singapore,26.23254901960784,0.1803921568627451,15.0,115.518,20.0
