,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,1.0,89.304,1.0
11,11,S PEREZ,PER,Red Bull Racing,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,4.0,89.709,2.0
16,16,C LECLERC,LEC,Ferrari,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,2.0,89.314,3.0
31,31,E OCON,OCO,Alpine,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,5.0,90.165,4.0
44,44,L HAMILTON,HAM,Mercedes,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,6.0,90.261,5.0
5,5,S VETTEL,VET,Aston Martin,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,9.0,90.554,6.0
14,14,F ALONSO,ALO,Alpine,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,7.0,90.322,7.0
63,63,G RUSSELL,RUS,Mercedes,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,8.0,90.389,8.0
6,6,N LATIFI,LAT,Williams,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,20.0,91.511,9.0
4,4,L NORRIS,NOR,McLaren,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,10.0,91.003,10.0
3,3,D RICCIARDO,RIC,McLaren,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,11.0,90.659,11.0
18,18,L STROLL,STR,Aston Martin,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,19.0,91.419,12.0
22,22,Y TSUNODA,TSU,AlphaTauri,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,13.0,90.808,13.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,18.0,91.352,14.0
77,77,V BOTTAS,BOT,Alfa Romeo,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,12.0,90.709,15.0
24,24,G ZHOU,ZHO,Alfa Romeo,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,14.0,90.953,16.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,15.0,91.439,17.0
10,10,P GASLY,GAS,AlphaTauri,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,17.0,91.322,18.0
55,55,C SAINZ,SAI,Ferrari,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,3.0,89.361,19.0
23,23,A ALBON,ALB,Williams,Suzuka Circuit,Japan,16.717647058823534,0.9803921568627451,16.0,91.311,20.0
