,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
16,16,C LECLERC,LEC,Ferrari,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,1.0,90.558,1.0
55,55,C SAINZ,SAI,Ferrari,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,3.0,90.687,2.0
44,44,L HAMILTON,HAM,Mercedes,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,5.0,91.238,3.0
63,63,G RUSSELL,RUS,Mercedes,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,9.0,92.216,4.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,7.0,91.808,5.0
77,77,V BOTTAS,BOT,Alfa Romeo,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,6.0,91.56,6.0
31,31,E OCON,OCO,Alpine,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,11.0,91.782,7.0
22,22,Y TSUNODA,TSU,AlphaTauri,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,16.0,92.75,8.0
14,14,F ALONSO,ALO,Alpine,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,8.0,92.195,9.0
24,24,G ZHOU,ZHO,Alfa Romeo,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,15.0,93.543,10.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,12.0,91.998,11.0
18,18,L STROLL,STR,Aston Martin,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,19.0,93.032,12.0
23,23,A ALBON,ALB,Williams,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,14.0,92.664,13.0
3,3,D RICCIARDO,RIC,McLaren,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,18.0,92.945,14.0
4,4,L NORRIS,NOR,McLaren,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,13.0,92.008,15.0
6,6,N LATIFI,LAT,Williams,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,20.0,93.634,16.0
27,27,N HULKENBERG,HUL,Aston Martin,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,17.0,92.777,17.0
11,11,S PEREZ,PER,Red Bull Racing,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,4.0,90.921,18.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,2.0,90.681,19.0
10,10,P GASLY,GAS,AlphaTauri,Bahrain International Circuit,Bahrain,23.617791411042944,0.0,10.0,92.338,20.0
