,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
63,63,G RUSSELL,RUS,Mercedes,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,3.0,72.059,1.0
44,44,L HAMILTON,HAM,Mercedes,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,8.0,72.611,2.0
55,55,C SAINZ,SAI,Ferrari,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,5.0,72.357,3.0
16,16,C LECLERC,LEC,Ferrari,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,10.0,70.95,4.0
14,14,F ALONSO,ALO,Alpine,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,7.0,72.504,5.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,2.0,71.877,6.0
11,11,S PEREZ,PER,Red Bull Racing,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,9.0,75.601,7.0
31,31,E OCON,OCO,Alpine,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,6.0,72.425,8.0
77,77,V BOTTAS,BOT,Alfa Romeo,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,18.0,75.486,9.0
18,18,L STROLL,STR,Aston Martin,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,15.0,72.21,10.0
5,5,S VETTEL,VET,Aston Martin,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,13.0,71.678,11.0
24,24,G ZHOU,ZHO,Alfa Romeo,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,17.0,75.197,12.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,20.0,76.361,13.0
10,10,P GASLY,GAS,AlphaTauri,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,12.0,71.675,14.0
23,23,A ALBON,ALB,Williams,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,11.0,71.631,15.0
6,6,N LATIFI,LAT,Williams,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,16.0,75.095,16.0
22,22,Y TSUNODA,TSU,AlphaTauri,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,19.0,76.264,17.0
4,4,L NORRIS,NOR,McLaren,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,4.0,72.263,18.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,1.0,71.674,19.0
3,3,D RICCIARDO,RIC,McLaren,Autódromo José Carlos Pace,Brazil,23.010778443113775,0.0,14.0,72.14,20.0
