,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Yas Marina Circuit,UAE,28.575483870967748,0.0,1.0,83.824,1.0
16,16,C LECLERC,LEC,Ferrari,Yas Marina Circuit,UAE,28.575483870967748,0.0,3.0,84.092,2.0
11,11,S PEREZ,PER,Red Bull Racing,Yas Marina Circuit,UAE,28.575483870967748,0.0,2.0,84.052,3.0
55,55,C SAINZ,SAI,Ferrari,Yas Marina Circuit,UAE,28.575483870967748,0.0,4.0,84.242,4.0
63,63,G RUSSELL,RUS,Mercedes,Yas Marina Circuit,UAE,28.575483870967748,0.0,6.0,84.511,5.0
4,4,L NORRIS,NOR,McLaren,Yas Marina Circuit,UAE,28.575483870967748,0.0,7.0,84.769,6.0
31,31,E OCON,OCO,Alpine,Yas Marina Circuit,UAE,28.575483870967748,0.0,8.0,84.83,7.0
18,18,L STROLL,STR,Aston Martin,Yas Marina Circuit,UAE,28.575483870967748,0.0,14.0,85.359,8.0
3,3,D RICCIARDO,RIC,McLaren,Yas Marina Circuit,UAE,28.575483870967748,0.0,10.0,85.045,9.0
5,5,S VETTEL,VET,Aston Martin,Yas Marina Circuit,UAE,28.575483870967748,0.0,9.0,84.961,10.0
22,22,Y TSUNODA,TSU,AlphaTauri,Yas Marina Circuit,UAE,28.575483870967748,0.0,12.0,85.219,11.0
24,24,G ZHOU,ZHO,Alfa Romeo,Yas Marina Circuit,UAE,28.575483870967748,0.0,15.0,85.408,12.0
23,23,A ALBON,ALB,Williams,Yas Marina Circuit,UAE,28.575483870967748,0.0,19.0,86.028,13.0
10,10,P GASLY,GAS,AlphaTauri,Yas Marina Circuit,UAE,28.575483870967748,0.0,17.0,85.859,14.0
77,77,V BOTTAS,BOT,Alfa Romeo,Yas Marina Circuit,UAE,28.575483870967748,0.0,18.0,85.892,15.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Yas Marina Circuit,UAE,28.575483870967748,0.0,13.0,85.225,16.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Yas Marina Circuit,UAE,28.575483870967748,0.0,16.0,85.834,17.0
44,44,L HAMILTON,HAM,Mercedes,Yas Marina Circuit,UAE,28.575483870967748,0.0,5.0,84.508,18.0
6,6,N LATIFI,LAT,Williams,Yas Marina Circuit,UAE,28.575483870967748,0.0,20.0,86.054,19.0
14,14,F ALONSO,ALO,Alpine,Yas Marina Circuit,UAE,28.575483870967748,0.0,11.0,85.096,20.0
