,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
16,16,C LECLERC,LEC,Ferrari,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,1.0,77.868,1.0
11,11,S PEREZ,PER,Red Bull Racing,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,3.0,78.24,2.0
63,63,G RUSSELL,RUS,Mercedes,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,6.0,78.933,3.0
44,44,L HAMILTON,HAM,Mercedes,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,5.0,78.825,4.0
4,4,L NORRIS,NOR,McLaren,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,4.0,78.703,5.0
3,3,D RICCIARDO,RIC,McLaren,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,7.0,79.032,6.0
31,31,E OCON,OCO,Alpine,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,8.0,79.061,7.0
77,77,V BOTTAS,BOT,Alfa Romeo,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,12.0,79.41,8.0
10,10,P GASLY,GAS,AlphaTauri,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,11.0,79.226,9.0
23,23,A ALBON,ALB,Williams,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,16.0,80.135,10.0
24,24,G ZHOU,ZHO,Alfa Romeo,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,14.0,80.155,11.0
18,18,L STROLL,STR,Aston Martin,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,20.0,,12.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,15.0,80.465,13.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,17.0,80.254,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,13.0,79.424,15.0
6,6,N LATIFI,LAT,Williams,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,19.0,81.372,16.0
14,14,F ALONSO,ALO,Alpine,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,10.0,78.815,17.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,2.0,78.154,18.0
5,5,S VETTEL,VET,Aston Martin,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,18.0,81.149,19.0
55,55,C SAINZ,SAI,Ferrari,Albert Park Grand Prix Circuit,Australia,26.69743589743589,0.0,9.0,79.408,20.0
