,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
11,11,S PEREZ,PER,Red Bull Racing,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,3.0,71.629,1.0
55,55,C SAINZ,SAI,Ferrari,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,2.0,71.601,2.0
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,4.0,71.666,3.0
16,16,C LECLERC,LEC,Ferrari,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,1.0,71.376,4.0
63,63,G RUSSELL,RUS,Mercedes,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,6.0,72.112,5.0
4,4,L NORRIS,NOR,McLaren,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,5.0,71.849,6.0
14,14,F ALONSO,ALO,Alpine,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,7.0,72.247,7.0
44,44,L HAMILTON,HAM,Mercedes,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,8.0,72.56,8.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,12.0,72.909,9.0
5,5,S VETTEL,VET,Aston Martin,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,9.0,72.732,10.0
10,10,P GASLY,GAS,AlphaTauri,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,17.0,73.66,11.0
31,31,E OCON,OCO,Alpine,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,10.0,73.047,12.0
3,3,D RICCIARDO,RIC,McLaren,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,14.0,72.964,13.0
18,18,L STROLL,STR,Aston Martin,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,18.0,73.678,14.0
6,6,N LATIFI,LAT,Williams,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,19.0,74.403,15.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,20.0,75.606,16.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,11.0,72.797,17.0
23,23,A ALBON,ALB,Williams,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,16.0,73.611,18.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,15.0,73.081,19.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit de Monaco,Monaco,22.27469387755102,0.43673469387755104,13.0,72.921,20.0
