,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,1.0,81.299,1.0
55,55,C SAINZ,SAI,Ferrari,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,3.0,82.096,2.0
44,44,L HAMILTON,HAM,Mercedes,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,4.0,82.891,3.0
63,63,G RUSSELL,RUS,Mercedes,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,8.0,83.557,4.0
16,16,C LECLERC,LEC,Ferrari,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,15.0,93.008,5.0
31,31,E OCON,OCO,Alpine,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,7.0,83.529,6.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,11.0,86.788,7.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,10.0,84.03,8.0
14,14,F ALONSO,ALO,Alpine,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,2.0,81.944,9.0
18,18,L STROLL,STR,Aston Martin,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,18.0,95.532,10.0
3,3,D RICCIARDO,RIC,McLaren,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,9.0,83.749,11.0
5,5,S VETTEL,VET,Aston Martin,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,17.0,94.512,12.0
23,23,A ALBON,ALB,Williams,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,12.0,86.858,13.0
10,10,P GASLY,GAS,AlphaTauri,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,16.0,94.492,14.0
4,4,L NORRIS,NOR,McLaren,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,14.0,94.066,15.0
6,6,N LATIFI,LAT,Williams,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,19.0,95.66,16.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,5.0,82.96,17.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,20.0,96.575,18.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,6.0,83.356,19.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit Gilles Villeneuve,Canada,20.762962962962963,0.0,13.0,93.127,20.0
