,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Hungaroring,Hungary,28.808536585365857,0.0,2.0,76.612,1.0
4,4,L NORRIS,NOR,McLaren,Hungaroring,Hungary,28.808536585365857,0.0,3.0,76.694,2.0
11,11,S PEREZ,PER,Red Bull Racing,Hungaroring,Hungary,28.808536585365857,0.0,9.0,77.045,3.0
44,44,L HAMILTON,HAM,Mercedes,Hungaroring,Hungary,28.808536585365857,0.0,1.0,76.609,4.0
81,81,O PIASTRI,PIA,McLaren,Hungaroring,Hungary,28.808536585365857,0.0,4.0,76.905,5.0
63,63,G RUSSELL,RUS,Mercedes,Hungaroring,Hungary,28.808536585365857,0.0,18.0,79.027,6.0
16,16,C LECLERC,LEC,Ferrari,Hungaroring,Hungary,28.808536585365857,0.0,6.0,76.992,7.0
55,55,C SAINZ,SAI,Ferrari,Hungaroring,Hungary,28.808536585365857,0.0,11.0,77.703,8.0
14,14,F ALONSO,ALO,Aston Martin,Hungaroring,Hungary,28.808536585365857,0.0,8.0,77.035,9.0
18,18,L STROLL,STR,Aston Martin,Hungaroring,Hungary,28.808536585365857,0.0,14.0,78.144,10.0
23,23,A ALBON,ALB,Williams,Hungaroring,Hungary,28.808536585365857,0.0,16.0,78.917,11.0
77,77,V BOTTAS,BOT,Alfa Romeo,Hungaroring,Hungary,28.808536585365857,0.0,7.0,77.034,12.0
3,3,D RICCIARDO,RIC,AlphaTauri,Hungaroring,Hungary,28.808536585365857,0.0,13.0,78.002,13.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Hungaroring,Hungary,28.808536585365857,0.0,10.0,77.186,14.0
22,22,Y TSUNODA,TSU,AlphaTauri,Hungaroring,Hungary,28.808536585365857,0.0,17.0,78.919,15.0
24,24,G ZHOU,ZHO,Alfa Romeo,Hungaroring,Hungary,28.808536585365857,0.0,5.0,76.971,16.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Hungaroring,Hungary,28.808536585365857,0.0,19.0,79.206,17.0
2,2,L SARGEANT,SAR,Williams,Hungaroring,Hungary,28.808536585365857,0.0,20.0,79.248,18.0
31,31,E OCON,OCO,Alpine,Hungaroring,Hungary,28.808536585365857,0.0,12.0,77.841,19.0
10,10,P GASLY,GAS,Alpine,Hungaroring,Hungary,28.808536585365857,0.0,15.0,78.217,20.0
