,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,2.0,80.307,1.0
11,11,S PEREZ,PER,Red Bull Racing,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,5.0,80.688,2.0
55,55,C SAINZ,SAI,Ferrari,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,1.0,80.294,3.0
16,16,C LECLERC,LEC,Ferrari,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,3.0,80.361,4.0
63,63,G RUSSELL,RUS,Mercedes,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,4.0,80.671,5.0
44,44,L HAMILTON,HAM,Mercedes,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,8.0,80.82,6.0
23,23,A ALBON,ALB,Williams,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,6.0,80.76,7.0
4,4,L NORRIS,NOR,McLaren,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,9.0,80.979,8.0
14,14,F ALONSO,ALO,Aston Martin,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,10.0,81.417,9.0
77,77,V BOTTAS,BOT,Alfa Romeo,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,14.0,81.94,10.0
40,40,L LAWSON,LAW,AlphaTauri,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,12.0,81.758,11.0
81,81,O PIASTRI,PIA,McLaren,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,7.0,80.785,12.0
2,2,L SARGEANT,SAR,Williams,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,15.0,81.944,13.0
24,24,G ZHOU,ZHO,Alfa Romeo,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,16.0,82.39,14.0
10,10,P GASLY,GAS,Alpine,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,17.0,82.545,15.0
18,18,L STROLL,STR,Aston Martin,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,20.0,82.86,16.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,13.0,81.776,17.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,19.0,82.592,18.0
31,31,E OCON,OCO,Alpine,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,18.0,82.548,19.0
22,22,Y TSUNODA,TSU,AlphaTauri,Autodromo Nazionale di Monza,Italy,29.330128205128204,0.0,11.0,81.594,20.0
