,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,1.0,72.272,1.0
44,44,L HAMILTON,HAM,Mercedes,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,5.0,72.818,2.0
63,63,G RUSSELL,RUS,Mercedes,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,12.0,73.447,3.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,11.0,73.334,4.0
55,55,C SAINZ,SAI,Ferrari,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,2.0,72.734,5.0
18,18,L STROLL,STR,Aston Martin,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,6.0,72.994,6.0
14,14,F ALONSO,ALO,Aston Martin,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,9.0,73.507,7.0
31,31,E OCON,OCO,Alpine,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,7.0,73.083,8.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,13.0,73.521,9.0
10,10,P GASLY,GAS,Alpine,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,4.0,72.816,10.0
16,16,C LECLERC,LEC,Ferrari,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,19.0,74.079,11.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,15.0,74.477,12.0
81,81,O PIASTRI,PIA,McLaren,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,10.0,73.682,13.0
21,21,N DE VRIES,DEV,AlphaTauri,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,14.0,74.083,14.0
27,27,N HULKENBERG,HUL,Haas F1 Team,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,8.0,73.229,15.0
23,23,A ALBON,ALB,Williams,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,18.0,74.063,16.0
4,4,L NORRIS,NOR,McLaren,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,3.0,72.792,17.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,17.0,74.042,18.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,16.0,73.977,19.0
2,2,L SARGEANT,SAR,Williams,Circuit de Barcelona-Catalunya,Spain,22.674025974025977,0.0,20.0,74.699,20.0
